Country,State (US) -province (CA) -Area WRLD,Type and operator,Field,County,Start date ,"Area, acres",No. Well prod.,No. Well inj.,Pay zone ,Formation,EOR type,EOR short,Porosity perc.,"Permeability, md","Depth, ft M21","Gravity, API","Oil, cp",Satur. perc. start,Satur. perc. end,"Oil, gradesF",Prev. Prod. ,Proj- matur. ,"tot. Prod., b-d","enh. Prod., b-d",Proj- eval. ,Profit,proj scope
CANADA,Alta.,Devon Canada,Swan Hills,Alta.,2004,,5,1,Beaverhill,LS,CO2 MISCIBLE,CO2,8.5,54,8300,41,0.4,30,5,225,,JS,,,,,p
CANADA,Sask.,Cenovus,Weyburn unit,Sask.,2000,17280,320,170,Midale,LS/Dolo.,CO2 MISCIBLE,CO2,15,10,4655,28,3,45,30,140,WF,JS,22000,11000,Prom.,,"LW, Exp. L"
CANADA,Alta,Pengrowth Corporation,Judy Creek,Alta.,2007,80,,1,Swan Hills,LS,CO2 MISCIBLE,CO2,12,50,8200,41.5,0.65,,,206,HC,JS,,,TETT,,
CANADA,Alta,Penn West Energy Trust,Jofrre,,1984,6625,33,15,Viking,s,CO2 MISCIBLE,CO2,13,500,4900,42,1.14,38,23,133,WF,HF,700,700,Succ.,,FW
CANADA,Alta.,Penn West Energy Trust,Pembina,,2005,80,6,2,Cardium,s,CO2 MISCIBLE,CO2,16,20,5300,41,1,,,128,WF,JS,,,TETT,,p
CANADA,Alta.,Conoco Canada,Goose,Alta.,1987,2847,36,14,Beaverhill,LS,HC MISCIBLE,HC MISCIBLE,12,136.5,9150,41,0.3,55,43,230,WF,NC,1900,1700,Succ.,,Exp. UL
CANADA,Alta.,Devon Canada,Swan Hills,Alta.,1985,19440,400,95,Beaverhill,LS,HC MISCIBLE,HC MISCIBLE,8.5,54,8300,41,0.4,30,5,225,WF,NC,14300,4100,Succ.,Yes,FW
CANADA,Alta.,ExxonMobil Oil Canada,Rainbow II,Alta.,1983,320,2,,Keg River,"Dolo., LS",HC MISCIBLE,HC MISCIBLE,8.5,2550,5500,39,0.46,45,15,190,WF,HF,50,50,Prom.,Yes,FW
CANADA,Alta.,ExxonMobil Oil Canada,Rainbow AA,Alta.,1972,800,4,,Keg River,"Dolo., LS",HC MISCIBLE,HC MISCIBLE,8.6,2550,5500,39,0.47,92,15,184,GIMF,NC,10,10,Succ.,Yes,FW
CANADA,Alta.,ExxonMobil Oil Canada,Rainbow South B,'B',1972,490,8,3,Keg River,Dolo.,HC MISCIBLE,HC MISCIBLE,6,40,6200,40,0.3,,,183,Prim.,NC,598,598,Succ.,Yes,FW
